Object ID,Department,Object Name,Title,Culture,Artist Nationality,Object Begin Date,Object End Date,Medium,Credit Line,Country
168781,Costume Institute,Fan,Fan,European,European,1776,1799,"Ivory, paper","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of George Arents in memory of Annie Walter Arents, 1949",Europe
169926,Costume Institute,Undersleeves,Undersleeves,American,American,1848,1852,Linen,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of The Jason and Peggy Westerfield Collection, 1969",United States
170041,Costume Institute,Evening shoes,Evening shoes,American,American,1938,1943,"Leather, metallic","Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Colonel and Mrs. Horace Figuers, 1973",United States
174460,Costume Institute,Ensemble,Ensemble,American,American,1950,1950,Wool,"Brooklyn Museum Costume Collection at The Metropolitan Museum of Art, Gift of the Brooklyn Museum, 2009; Gift of Mrs. Albert Ogden in memory of Sheldon Stewart, 1964",United States
187639,European Sculpture and Decorative Arts,Knife and fork with case,Knife and fork with case,Greek,Greek,1700,1750,"Steel, silver, niello; case:  leather, silver, niello","Gift of R. Stuyvesant, 1893",Greece
190199,European Sculpture and Decorative Arts,Swags,Set of five swags,French,French,1700,1799,Gilt bronze,"Gift of J. Pierpont Morgan, 1906",France
194582,European Sculpture and Decorative Arts,Jug with cover,Jug with cover,German,German,1755,1765,Stoneware,"Gift of Mrs. Robert W. de Forest, 1920",Germany
198408,European Sculpture and Decorative Arts,Plaque,Marriage of Peleus and Thetis,Italian,Italian,1570,1580,Bronze,"Samuel D. Lee Fund, 1939",Italy
200381,European Sculpture and Decorative Arts,Snuffbox,Snuffbox,German,German,1770,1780,Gold,"Bequest of Catherine D. Wentworth, 1948",Germany
201480,European Sculpture and Decorative Arts,Chess set,Chess set,German,German,1800,1899,Metal,"Gift of Gustavus A. Pfeiffer, 1953",Germany
203525,European Sculpture and Decorative Arts,Toy,Partridges in wheatsheaf,British,British,1750,1760,Soft-paste porcelain,"Gift of Irwin Untermyer, 1964",United Kingdom
211642,European Sculpture and Decorative Arts,Souvenir spoon,Souvenir spoon,European,European,1885,1899,Gilt and enamel,"Gift of Sir William H. Redding, in memory of his wife, 1907",Europe
218086,European Sculpture and Decorative Arts,Border,Border,Italian,Italian,1600,1699,Needle lace,"Purchase by subscription, 1909",Italy
218343,European Sculpture and Decorative Arts,Fragment,Fragment,Spanish,Spanish,1800,1815,Machine net,"Purchase by subscription, 1909",Spain 
226057,European Sculpture and Decorative Arts,Borders,Borders,French,French,1700,1815,Needle lace,"Gift of Ann Payne Blumenthal, 1936",France
229526,European Sculpture and Decorative Arts,Panel,Panel,French,French,1775,1780,Silk,"Gift of Mrs. Janet S. Kaffenburgh in memory of her grandmother Mrs. Joseph Garson of Rochester, N.Y., 1976",France
236638,European Sculpture and Decorative Arts,Plaque,Head described as that of Saint James the Elder,German,German,1800,1899,Iron,"Gift of Martin and Roberta Lerner, 2009",Germany
241148,Greek and Roman Art,Statuette of a seated goddess,Terracotta statuette of a seated goddess,Turkish,Cypriot,-325,-275,Terracotta,"The Cesnola Collection, Purchased by subscription, 1874–76",Cyprus
244271,Greek and Roman Art,Axehead,Axehead,Turkish,Cypriot,-3200,-2000,Bronze,"The Cesnola Collection, Purchased by subscription, 1874–76",Cyprus
246324,Greek and Roman Art,"Fibula, boat-shaped type","Fibula, boat-shaped type",Italian,Italian,-800,-501,Bronze,"Purchase, 1896",Italy
250722,Greek and Roman Art,"Statuette of a woman, seated",Terracotta statuette of a seated woman,Greek,Greek,-524,-475,Terracotta,"Gift of Henry S. Washington, 1919",Greece
252173,Greek and Roman Art,Seal,Jasper amygdaloid seal,Minoan,Minoan,-1600,-1450,Jasper,"Bequest of Richard B. Seager, 1926",Greece
252221,Greek and Roman Art,Seal,Seal,Minoan,Minoan,-2000,-1450,Haemaetite,"Bequest of Richard B. Seager, 1926",Greece
262991,Photographs,Photograph,[Detail of Vanitas Figures Carved on the Choir Stalls at Amiens Cathedral],French,French,1860,1869,Albumen silver print from glass negative,"Gift of Lucien Goldschmidt, 1981",France
263514,Photographs,Photograph,Robert Motherwell,American,American,1981,1981,Gelatin silver print,"Gift of the artist, 1983",United States
265758,Photographs,Photograph,[Graffiti on Backstage Door of the School of American Ballet],American,American,1945,1945,Gelatin silver print,"Gift of Paul F. Walter, in memory of Christopher Hemphill, 1987",United States
266167,Photographs,Photograph,[Study of Australian Grapes],French,French,1858,1862,Albumen silver print from glass negative,"Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1989",France
269735,Photographs,Photograph,Sous bois,Belgian,Belgian,1922,1922,Bromoil print,"Gift of Clarence McK. Lewis, 1954",Belgium
271904,Photographs,Glass positive,Margaret Eakins,American,American,1880,1889,Glass positive ,"Gift of Charles Bregler, 1947",United States
273592,Photographs,Negative,[Peggy Bacon],American,American,1934,1934,Film negative,"Walker Evans Archive, 1994",United States
276937,Photographs,Negative,"[Two 35mm Film Frames: Boys Playing on Stoop Near Elevated Train Tracks, New York City]",American,American,1933,1934,Film negative,"Walker Evans Archive, 1994",United States
286197,Photographs,Photograph,"Rouen, Place Eau-de-Robec",French,French,1908,1908,Matte albumen silver print from glass negative,"Gilman Collection, Purchase, Sam Salz Foundation Gift, 2005",France
311479,"Arts of Africa, Oceania, and the Americas",Horn,Horn,Asmat people,Asmat,1900,2000,Bamboo,"The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",Indonesia
312687,"Arts of Africa, Oceania, and the Americas",Snake figure,Coiled Serpent,Aztec,Aztec,1400,1600,"Stone, pigment","The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Mexico
313019,"Arts of Africa, Oceania, and the Americas",Pendant,Figure Pendant,Atlantic Watershed,Atlantian,300,800,Jadeite,"The Michael C. Rockefeller Memorial Collection, Bequest of Nelson A. Rockefeller, 1979",Costa Rica
316760,"Arts of Africa, Oceania, and the Americas",Painting,Painting,Abelam people,Abelam,1900,2000,"Paper, paint","Gift of Lita Osmundsen, 1992",Papua New Guinea
317005,Not Avilable,Cloth,Carrying Cloth,Quechua,Quechua,1900,2000,Camelid hair,"Bequest of Arthur M. Bullowa, 1993  ",Peru
317135,"Arts of Africa, Oceania, and the Americas",Ritual stone,Stone Pulidor,Mexican,Mexican,1200,1600,Stone,"Bequest of Arthur M. Bullowa, 1993  ",Mexico
319532,"Arts of Africa, Oceania, and the Americas",Costume element,Ceremonial Costume Element,Timor,Timor,1850,1950,"Cotton, glass beads","Bequest of John B. Elliott, 1997",Indonesia
323644,Ancient Near Eastern Art,Sherd,Sherd,Iran,Iranian,-3505,-3100,"Ceramic, paint","Rogers Fund, 1938",Iran
325714,Ancient Near Eastern Art,Sculpture,Bird standard,Southeastern Iran,Iranian,-2500,-2500,Copper alloy,"Purchase, Schimmel Foundation Inc. Gift, 1965",Iran
327150,Ancient Near Eastern Art,Bead,Bead,Syria,Syrian,-7000,-5000,Calcite,"Gift of Sheldon and Barbara Breitbart, 1985",Syria
339097,Drawings and Prints,Print; Poster,New York Ledger: Bicycle Number,American,American,1895,1895,Lithograph,"Gift of Bessie Potter Vonnoh, 1941",United States
339407,Drawings and Prints,Drawing,Figure Studies,Italian,Italian,1696,1770,"Pen and brown ink, over black chalk, on beige paper","Rogers Fund, 1964",Italy
341146,Drawings and Prints,Print,Reciprocated Love,Italian,Italian,1584,1600,Engraving,"Harris Brisbane Dick Fund, 1927",Italy
341485,Drawings and Prints,Print,"Rest on the flight into Egypt, Mary holding and looking at the infant Christ while St. Joseph reads",Italian,Italian,1632,1642,Etching,"Harris Brisbane Dick Fund, 1926",Italy
345964,Drawings and Prints,Book,Meubles Modernes,French,French,1875,1890,Chromolithography,"A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, 1987",France
346186,Drawings and Prints,Book,Blossoms of Childhood,American,American,1840,1840,Illustrations: wood engraving,"Anonymous Gift, 1941",United States
347789,Drawings and Prints,Book,"The Comical History of Lord Flutter, Lord Spindle and Sir Harry Hopscotch; or, the Bee, the Wasp, and the Ant",British,British,1800,1900,"Wood engraving, hand colored","Gift of Lincoln Kirstein, 1964",United Kingdom
350011,Drawings and Prints,Book,"Seamless Plain Solid Gold Rings, Engraved Rings, Diamond Rings, Mountings, Ladies' Stone Rings, Chains, Diamond Cutters",American,American,1902,1902,Illustrations: photomechanical process,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",United States
350542,Drawings and Prints,Book,"Performing Tea Ceremony, The Miyako Odori for 1935, and eight stage sets",Japan,Japanese,1930,1940,Illustrations: photographic method and color prints,"Gift of Lincoln Kirstein, 1986",Japan
353752,Drawings and Prints,Book,Plates in Missel de Notre-Dame de France,French,French,1899,1899,No medium,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1963",France
355115,Drawings and Prints,Book,"Exposition Lorraine. L'École de Nancy au Musée de l'Union Centrale des Arts Décoratifs. Pavillon de Marsan, A Paris. Ier Série: Le Moblier",French,French,1900,1910,Heliotype print,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",France
357808,Drawings and Prints,Book,Enoch Arden,British,British,1866,1866,Illustrations: wood engraving,"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1966",United Kingdom
360463,Drawings and Prints,Drawing,"St. Peter's, exterior, tabernacle, elevation and section at base with details of pedestal and railing, (recto)St. Peter's, exterior, tabernacle, elevation and section at arched opening (verso)",French,French,1500,1560,"Dark brown ink, black chalk, and incised lines","Gift of Janos Scholz and Anne Bigelow Scholz, in memory of Flying Officer Walter Bigelow Rosen, RCAF, 1949",France
